requirement_id,section,design_clause,review_finding,code_module,unit_test,integration_test,e2e_test,security_test,operational_control,release_evidence,status
DR-TEN-1,§3.1,Tenant-pervasive,Resolved C-13,contracts/identity.go + service/migrations/001_initial_schema.up.sql,tenant_test.go,tenant_integration_test.go,,tenant_isolation_test.go,RLS policy,traceability report,
DR-TEN-2,§3.1,Server-side tenant enforcement,Resolved C-13,service/migrations/001_initial_schema.up.sql (RLS),tenant_test.go,tenant_integration_test.go,,tenant_isolation_test.go,RLS audit,traceability report,
DR-TEN-3,§3.1,Cross-tenant & IDOR release gates,Resolved C-13,service/migrations/001_initial_schema.up.sql,,,,tenant_isolation_test.go + idor_test.go,§22.3 gate,penetration test report,
DR-ID-1,§3.2,Identity from stable node id,Resolved H-26,contracts/identity.go,principal_test.go,,principal_integration_test.go,principal_forgery_test.go,,,
DR-ID-2,§3.2,WhoIs passthrough resolver,Resolved H-26,contracts/identity.go,principal_test.go,,,,,,
DR-ID-3,§3.2,Fail-closed human principal,Resolved H-26,service/internal/policy/engine.go,policy_test.go,,,principal_edge_case_test.go,,,
DR-ID-4,§3.2,Machine-identity explicit policy,Resolved H-26,service/internal/policy/engine.go,policy_test.go,,,,,,
DR-ID-5,§3.2,Revalidate src_node on grant use,Resolved C-04,daemon/internal/grants/cache.go + contracts/envelope.go,grant_cache_test.go,,,,,,
DR-ID-6,§3.2,Authoritative identity link,Resolved R-02,service/migrations/001_initial_schema.up.sql (identity_links),identity_link_test.go,,,,,,
DR-RES-1,§3.3,ResourceID not display string,Resolved M-04,contracts/identity.go,,,,,,,
DR-RES-2,§3.3,Protected requires backend-isolation probe,Resolved C-02,daemon/internal/firewall/manager.go,firewall_test.go,,bypass_matrix_test.go,backend_reachability_test.go,,,
DR-RES-3,§3.3,Unsupported transport → DENY,Resolved C-03,service/internal/policy/engine.go,policy_test.go,,,udp_bypass_test.go,,,
DR-ENF-1,§7.1,Single ingress invariant,Resolved C-02,daemon/internal/firewall/manager.go + daemon/internal/tcpproxy/proxy.go,,bypass_matrix_test.go,,bypass_matrix_test.go,Firewall verify loop,bypass test report,
DR-ENF-2,§7.2,Linux nftables enforcement,Resolved C-02,daemon/internal/firewall/manager.go,firewall_test.go,,bypass_matrix_linux_test.go,linux_bypass_test.go,nftables audit,,
DR-ENF-3,§7.2,Windows WFP enforcement,Resolved C-02,daemon/internal/firewall/manager.go,,,bypass_matrix_windows_test.go,windows_bypass_test.go,WFP audit,,
DR-ENF-4,§7.2,macOS Network Extension enforcement,Resolved C-02,daemon/internal/firewall/manager.go,,,bypass_matrix_macos_test.go,macos_bypass_test.go,PF audit,,
DR-ENF-5,§7.2,Continuous verification fail-closed,Resolved C-02,daemon/internal/firewall/manager.go,firewall_verify_test.go,,,,,,
DR-ENF-6,§7.3,UDP DENY default,Resolved C-03,daemon/internal/firewall/manager.go,,,udp_bypass_test.go,udp_bypass_test.go,,,
DR-ENF-7,§7.3,QUIC/HTTP-3 blocked,Resolved C-03,daemon/internal/firewall/manager.go,,,quic_bypass_test.go,quic_bypass_test.go,,,
DR-ENF-8,§7.4,HTTP_PROXY enforcement,Resolved C-05,daemon/internal/interstitial/handler.go,interstitial_test.go,,http_proxy_e2e_test.go,interstitial_cookie_test.go,,,
DR-ENF-8a,§7.4,Interstitial capabilities,Resolved H-02,daemon/internal/interstitial/handler.go,interstitial_test.go,,,capability_tamper_test.go,,,
DR-ENF-8b,§7.4,HTTP request body handling,Resolved R-03,sdk/go/client.go,client_test.go,,,,,,
DR-ENF-9,§7.4,TS_SSH enforcement,Resolved C-15,daemon/internal/ssh/enforcer.go,,,ts_ssh_e2e_test.go,ssh_bypass_test.go,,,
DR-ENF-10,§7.4,OPAQUE_TCP enforcement,Resolved C-15,daemon/internal/tcpproxy/proxy.go,tcpproxy_test.go,,,tcp_bypass_test.go,,,
DR-ENF-10a,§7.4,OPENSSH enforcement,Resolved C-15,daemon/internal/ssh/enforcer.go,,,openssh_e2e_test.go,openssh_bypass_test.go,,,
DR-ENF-11,§7.4,Mode-scope validation,Resolved H-01,service/internal/policy/engine.go,policy_test.go,,,,,,
DR-ENF-12,§7.5,Backend isolation,Resolved C-02,daemon/internal/firewall/manager.go,,,backend_isolation_test.go,backend_probe_test.go,,,
DR-ENF-13,§7.5,Reachability probe,Resolved H-27,daemon/internal/firewall/manager.go,probe_test.go,,,,,,
DR-KEY-1,§8.2,device_auth key properties,Resolved C-07,service/internal/crypto/keymanager.go,key_test.go,,,device_key_test.go,,,
DR-KEY-2,§8.2,approval_auth key properties,Resolved C-07,service/internal/crypto/keymanager.go,key_test.go,,,approval_key_test.go,,,
DR-KEY-3,§8.2,Both keys attested independently,Resolved C-07,service/internal/crypto/keymanager.go,attestation_test.go,,,,,,
DR-KEY-4,§8.2,Key rotation/invalidation,Resolved C-07,service/internal/crypto/keymanager.go,key_rotation_test.go,,,,,,
DR-KEY-5,§8.3,Attestation verifier (both roots+CRL),Resolved H-04,service/internal/crypto/keymanager.go,attestation_test.go,,,attestation_verifier_test.go,,,
DR-KEY-6,§8.3,StrongBox ≠ TEE,Resolved H-05,contracts/identity.go + service/migrations/001_initial_schema.up.sql,attestation_test.go,,,,,,
DR-KEY-7,§8.4,Separate signing keys,Resolved H-09,service/internal/crypto/keymanager.go,keymanager_test.go,,,,,,
DR-KEY-8,§8.4,Vault Transit provider,Resolved H-09,service/internal/crypto/keymanager.go,vault_test.go,,,,,,
DR-KEY-9,§8.4,Key rotation with overlap,Resolved H-09,service/internal/crypto/keymanager.go,key_rotation_test.go,,,,,,
DR-KEY-10,§8.5,Offline root signs online keys,Resolved H-08,service/internal/crypto/keymanager.go,root_test.go,,,,,,
DR-KEY-11,§8.5,Initial trust bootstrap,Resolved H-08,service/internal/crypto/keymanager.go,,,,,,,
DR-SIG-1,§9.1,Request envelope verification,Resolved C-08,contracts/envelope.go,envelope_test.go,,,,,,
DR-SIG-2,§9.1,Display digest coverage,Resolved C-09,contracts/envelope.go,envelope_test.go,,,,,,
DR-SIG-3,§9.1,Request signing key rotation,Resolved C-08,service/internal/crypto/keymanager.go,,,,,,,
DR-SIG-4,§9.2,Scope-specific bindings,Resolved C-05,contracts/envelope.go + contracts/identity.go,binding_test.go,,,,,,
DR-SIG-5,§9.3,Response signature coverage,Resolved C-09,contracts/envelope.go,response_test.go,,,,,,
DR-SIG-6,§9.3,Device counter anti-clone,Resolved R-04,contracts/envelope.go + service/migrations/001_initial_schema.up.sql,counter_test.go,,,,,,
DR-GRANT-1,§9.3,Full binding set,Resolved C-04,contracts/envelope.go,grant_test.go,,,,,,
DR-GRANT-2,§9.3,AGT acceptance checks,Resolved C-10,contracts/envelope.go + daemon/internal/grants/cache.go,grant_test.go,,,,,,
DR-GRANT-3,§9.3,TTL caps by scope/sensitivity,Resolved C-10,contracts/envelope.go,grant_ttl_test.go,,,,,,
DR-GRANT-4,§9.4,SESSION never persisted,Resolved C-06,daemon/internal/grants/cache.go,session_test.go,,,,,,
DR-GRANT-5,§9.4,Grant cache persistence,Resolved H-10,daemon/internal/grants/cache.go,cache_persistence_test.go,,,,,,
DR-GRANT-6,§9.4,Atomic CAS consumption,Resolved H-11,daemon/internal/grants/cache.go,cache_atomic_test.go,,,concurrent_consume_test.go,,,
